"Giraczka";"Martin";"Lowell Pro Šafrata Team Bohumín";0
"Grussmann";"Václav";"CK Continental Frenštát p. R. ""A""";44
"Havlíèek";"Robert";"YOGI Racing Ostrava 2";0
"Chaloupka ";"Petr";"Cyklo Racing Olomouc";48
"Chruòák";"Martin";"YOGI Racing Ostrava 1";0
"Chudìj";"Marek";"Cyklo Racing Olomouc";42
"Chudý";"Radek";"Cyklokramo Suchdol nad Odrou ""B""";0
"Chýlek ";"Patrik";"CK Continental Frenštát p. R. ""B""";0
"Jaroš";"Martin";"Racing Olešná ""B""";0
"Kaiser";"Zdenìk";"A Bike Club Ostrava";0
"Kmenta";"Dalibor";"FORCE KCK CYKLOTEAM ZLÍN";0
"Kokeš";"Pavel";"SK Valašského království";0
"Kraèmar";"Petr";"Kolík& Hobby ""B""";0
"Kubala";"Janusz";"M3B racing team";46
"Lach";"Alan";"Racing Olešná ""A""";0
"Lysek";"Vladimír";"CK Continental Frenštát p. R. ""A""";0
"Machotka";"Karel";"YOGI Racing Ostrava 1";"DNF"
"Odvárka";"Ivo";"FORCE KCK CYKLOTEAM ZLÍN";60
"Rylich";"Václav";"CK Orlík Orlová";0
"Sokol";"Pavel";"Cyklokramo Suchdol nad Odrou ""A""";0
"Šimeèek";"Radim";"Midar Pøíbor";0
"Škarka";"Jiøí";"Kolík& Hobby ""A""";38
"Tihlaøík";"Stanislav";"Cyklistika pro všechny Krnov";0
"Vymazal";"Igor";;0
"Wala";"Petr";"CK Feso Petøvald";0
"Wenzel";"Roman";"MaxCursor";0
"Wilhelm";"Jaroslav";"Kolík& Hobby ""B""";40
;;;
"Kategorie D";14;;1
"pøíjmení";"jméno";"klub";"Trispol"
"Adamèík";"Miroslav";"Cyklokramo Suchdol nad Odrou ""A""";44
"Baier";"Jan";"Kolík& Hobby ""B""";0
"Baran";"Petr";"M3B racing team";42
"Hinner";"Jiøí";"ACK Stará Ves nad Ondøejnicí";0
"Hlavatík";"Ladislav";"Racing Olešná ""A""";35
"Holeš";"Jiøí";"Kolík& Hobby ""B""";30
"Chmura";"Petr";"Team Forman Cinelli";0
"Jakl";"Jiøí";"Triatlon klub Ostrava";0
"Knytl";"Vojtìch";"Cyklokramo Suchdol nad Odrou ""A""";0
"Koneèný ";"Pavel";"Kolík& Hobby ""A""";0
"Kontúr";"Milan";"SK Valašského království";27
"Kopøiva";"Miroslav";"CK Continental Frenštát p. R. ""B""";29
"Krawczyk";"Andrzej";;32
"Krchòák";"Pavel";"ACK Stará Ves nad Ondøejnicí";33
"Lawicki";"Dariusz";"CZERNICA MASTERS";36
"Legerský";"Jiøí";"TJ TŽ Tøinec";0
"Lepka";"Václav";"YOGI Racing Ostrava 2";26
"Lukeš";"Stanislav";"Cyklo Racing Olomouc";37
"Motyka";"Tomáš";"A Bike Club Ostrava";0
"Novák";"Milan";"BICYKLY CZ";40
"Pavlík";"Petr";"Racing Olešná ""A""";0
"Pelc";"Ladislav";"CK Continental Frenštát p. R. ""A""";60
"Petruš";"Lubomír";"ACS DRAK VRBNO";0
"Praski";"Henryk";"Kolík& Hobby ""B""";0
"Raus";"Pavel";"Novatop Lapierre";38
"Rumiñski";"Stanislaw";;34
"Rupa";"Miroslav";"YOGI Racing Ostrava 1";0
"Rybicki";"Ludwik";;"DNF"
"Satinský";"Alexandr";"YOGI Racing Ostrava 1";46
"Savka";"Miroslav";"CK Orlík Orlová";0
"Schneider";"Rudolf";"CK Continental Frenštát p. R. ""B""";0
"Sikora";"Miroslav";"TJ TŽ Tøinec";0
"Sikora";"Petr";"Lowell Pro Šafrata Team Bohumín";0
"Skøeèek";"Robert";"KC Brno";50
"Slezák";"Josef";"FORCE KCK CYKLOTEAM ZLÍN";55
"Škráèek";"Karel";"Vysot Sport Kunín";31
"Vyoral";"Lubomír";"Kolík& Hobby ""A""";28
"Widenka";"Aleš";"Kolík& Hobby ""B""";0
"Wiœniewski";"Jerzy";;"DNF"
"Zemánek";"Lubomír";"Cyklokramo Suchdol nad Odrou ""A""";39
"Zvoníèek";"Radomír";"FORCE KCK CYKLOTEAM ZLÍN";48
;;;
"Kategorie E";14;;1
"pøíjmení";"jméno";"klub";"Trispol"
"Bluszcz";"Stefan";"Lowell Pro Šafrata Team Bohumín";42
"Danìèek";"Pavel";"Loko Krnov";60
"Dubný";"Pavel";"Cyklokramo Suchdol nad Odrou ""B""";37
"Glogar ";"Jan";"YOGI Racing Ostrava 2";0
"Homola ";"Petr";"YOGI Racing Ostrava 1";40
"Kramoliš";"Radomír";"Cyklokramo Suchdol nad Odrou ""B""";0
"Kubík";"Josef";"Kolík& Hobby ""A""";39
"Masný ";"Milan";"Racing Olešná ""A""";0
"Misina";"Andrzej ";"ACK Stará Ves nad Ondøejnicí";44
"Mlynáø";"Miloslav";"ACS DRAK VRBNO";0
"Mottl";"Bohumír";"Kolík& Hobby ""A""";46
"Mrakvia";"Zdenìk";"skvelakola.cz";36
"Mrnùštík";"Josef";"Cyklotech-Pro a Mrnùštík";0
"Oslzla";"Stanislav";"Brušperk";0
"Pavelek";"František";"CK Continental Frenštát p. R. ""B""";0
"Pavlík";"Jiøí";"skvelakola.cz";48
"Pekarèík";"Jiøí";"Cyklokramo Suchdol nad Odrou ""B""";0
"Rychta";"Otmar";"Cyklistika pro všechny Krnov";0
"Skotnica";"Josef";"SKP Opava";35
"Šlonc";"Vlastimil";"TŽ Tøinec";55
"Tešnar";"Tomáš";"YOGI Racing Ostrava 1";50
"Toman";"Vladislav";"Cyklokramo Suchdol nad Odrou ""A""";0
"Veselý";"Petr";"TJ TŽ Tøinec";38
;;;
"Kategorie ŽA";14;;1
"pøíjmení";"jméno";"klub";"Trispol"
"Frantová";"Kateøina";"Racing Olešná ""B""";0
"Gruchalová";"Lucie";"Lowell Pro Šafrata Team Bohumín";60
"Holáòová";"Tereza";"Kolík& Hobby ""B""";0
"Chmurová";"Jana";"Team Forman Cinelli";55
"Kotalová";"Veronika";"CK Feso Petøvald";0
"Kratochvílová";"Eva";"A Bike Club Ostrava";0
"Kusidlo";"Katarzyna";"Kolík& Hobby ""A""";0
"Lantová ";"Romana";"Cyklistika pro všechny Krnov";0
"Sikorová";"Michaela";"TJ TŽ Tøinec";0
"Sladkovská";"Petra";"CK Continental Frenštát p. R. ""B""";0
"Sýkorová";"Eliška";"ACS Drak Vrbno";48
"Šimková";"Barbora";"ACK Stará Ves nad Ondøejnicí";0
"Škopcová";"Klára";"ACS DRAK VRBNO";50
"Tomanová";"Lucie";"Cyklokramo Suchdol nad Odrou ""A""";0
"Ublanská ";"Kamila";"CK Orlík Orlová";0
;;;
"Kategorie ŽB";14;;1
"pøíjmení";"jméno";"klub";"Trispol"
"Bilková";"Jarmila";"TŽ Tøinec";44
"Danìèková";"Romana";"MAPEI Cyclo Kaòkovský";55
"Dohnalová";"Jaroslava";"Cyklistika pro všechny Krnov";50
"Halmová ";"Eva";"CK Orlík Orlová";0
"Jaklová";"Ivana";"Lowell Pro Šafrata Team Bohumín";0
"Lantová ";"Romana";"Cyklistika pro všechny Krnov";46
"Líbenková ";"Sylva";"Kolík& Hobby ""A""";0
"Pargaèová";"Marcela";"Cyklokramo Suchdol nad Odrou ""A""";48
"Procházková";"Hana";"CK Orlík Orlová";0
"Vyèítalová ";"Jana";"ACS Drak Vrbno";60
;;;
"Kategorie M";14;;1
"pøíjmení";"jméno";"klub";"Trispol"
"Fierla";"Jan";"CK Feso Petøvald";46
"Fišer";"Aleš";"CK Orlík Orlová";0
"Glogovský";"Daniel";"CK Feso Petøvald";"DNF"
"Glombek";"Štìpán";"TJ TŽ Tøinec";0
"Heczko";"Filip";"TJ TŽ Tøinec";0
"Hrachovina";"Eduard";"CK Feso Petøvald";50
"Krhut";"Jan";"Triatlon klub Ostrava";0
"Køístek";"Martin";"YOGI Racing Ostrava 2";0
"Mrázek";"Lukáš";"Atom Bike Trek For Bikes";42
"Kubièík";"Filip";"Cyklistika pro všechny Krnov";44
"Petruš";"Jiøí";"Mapei Cyklo Kaòkovský";60
"Poláèik";"Martin";"CK Continental Frenštát p. R. ""A""";0
"Prejda";"Václav";"SK Jiøí Team Ostrava";55
"Wala";"Jan";"CK Feso Petøvald";48
;;;
"Družstva";21;;1
"pøíjmení";"jméno";"klub";"Trispol"
"A Bike Club Ostrava";;;0
"ACK Stará Ves nad Ondøejnicí";;;68,2
"ACS DRAK VRBNO";;;74
"Baník Karviná";;;0
"BICYKLY CZ";;;40
"Brušperk";;;0
"CK Continental Frenštát p. R. ""A""";;;144
"CK Continental Frenštát p. R. ""B""";;;66
"CK Feso Petøvald";;;132,4
"CK Kysuce";;;0
"CK Orlík Orlová";;;0
"Cyklistika pro všechny Krnov";;;114,8
"Cyklokramo Suchdol nad Odrou ""A""";;;121,4
"Cyklokramo Suchdol nad Odrou ""B""";;;29,6
"Cyklosport Pøikryl Stará Ves n. Ondøejnicí";;;0
"Cyklotech-Pro a Mrnùštík";;;0
"CZERNICA MASTERS";;;36
"FORCE KCK CYKLOTEAM ZLÍN";;;170
"HPEL TEAM";;;0
"Kolík& Hobby ""A""";;;135
"Kolík& Hobby ""B""";;;70
"Loko Krnov";;;48
"Lowell Pro Šafrata Team Bohumín";;;131,6
"M3B racing team";;;136
"MAPEI Cyclo Kaòkovský";;;44
"MaxCursor";;;0
"Midar Pøíbor";;;0
"NUTREND SPECIALIZED Cycling team";;;60
"Racing Olešná ""A""";;;35
"Racing Olešná ""B""";;;0
"SK Valašského království";;;63
"SKP Opava";;;28
"skvelakola.cz";;;105,2
"Team Forman Cinelli";;;44
"TJ TŽ Tøinec";;;30,4
"Triatlon klub Ostrava";;;70
"YOGI Racing Ostrava 1";;;118
"YOGI Racing Ostrava 2";;;26
