"Kategorie A";14;;;;;;
"pøíjmení";"jméno";"klub";"Trispol";"èas. AM";"Krnov";"M.J.F.";"TdS"
"PAPULA ";"Lukáš";"TJ Unièov";0;0;42;0;0
"Petruš";"Jiøí";"Mapei Cyklo Kaòkovský";60;0;48;0;0
"Pokorný ";"Petr";"ACK Stará Ves nad Ondø.";0;49;38;50;0
"Poláèik";"Martin";"CK Continental Frenštát p. R. ""A""";0;48;"DNF";46;46
"Prejda";"Václav";"SK Jiøí Team Ostrava";55;0;"DNF";39;0
"Ruman";"Jakub";"ACK Stará Ves nad Ondø.";0;60;"DNF";60;0
"Schichel";"Jakub";"Yogi Racing";0;0;0;40;0
"SVRÈINA";"Karel";"SK Jiøí team Ostrava";0;0;44;0;0
"VÝVODA";"Jan";"Sigma Hranice";0;0;39;0;0
"WÁGNER";"Jakub";"Mapei Cyklo Kaòkovský";0;0;40;0;0
"Wala";"Jan";"CK Feso Petøvald";48;0;46;0;0
"WROBEL";"Adrian";"Mykesz Team";0;0;"DNF";0;0
"ŽERAVÍK";"Pavel";"Sigma Hranice";0;0;29;0;0
"Žeravik";"Vojtìch";"TJ SIGMA HRANICE";0;58;37;0;0
;;;;;;;
"Družstva";21;;;;;;
"pøíjmení";"jméno";"klub";"Trispol";"èas. AM";"Krnov";"M.J.F.";"TdS"
"A Bike Club Ostrava";;;0;74;67;108,6;109
"ACK Stará Ves nad Ondøejnicí";;;68,2;183;115,2;130;126,8
"ACS DRAK VRBNO";;;74;0;94,2;0;66,6
"CK Continental Frenštát p. R. ""A""";;;144;200;129;143;147
"CK Continental Frenštát p. R. ""B""";;;66;99;67;73,8;80,4
"CK Feso Petøvald";;;132,4;136,8;132,8;105,6;48
"CK Orlík Orlová";;;0;139,6;45,8;114;91,6
"Cyklistika pro všechny Krnov";;;114,8;139,2;104;126,4;122,4
"Cyklokramo Suchdol nad Odrou ""A""";;;121,4;154,8;125;114,4;121
"Cyklokramo Suchdol nad Odrou ""B""";;;29,6;124;88,4;30,4;59,2
"Cyklotech-Pro a Mrnùštík";;;0;36;0;0;25,6
"FORCE KCK CYKLOTEAM ZLÍN";;;170;114;170;144;160
"Kolík& Hobby ""A""";;;135;166;110,8;118;126
"Kolík& Hobby ""B""";;;70;130;79;42;103
"Kolík& Hobby ""C""";;;0;0;36;0;73,6
"Lowell Pro Šafrata Team Bohumín";;;131,6;182;136;142;134
"M3B racing team";;;136;184;110;138;131
"Racing Olešná ""A""";;;35;147;108;126;75
"Racing Olešná ""B""";;;0;80;0;0;0
"SK Valašského království";;;63;92;36;0;68
"skvelakola.cz";;;105,2;137;100,4;107;105
"Team Forman Cinelli";;;44;141,6;84,6;95;73,8
"TJ TŽ Tøinec";;;30,4;152,4;109,8;71;128
"Triatlon klub Ostrava";;;70;143;76;66;28
"YOGI Racing Ostrava 1";;;118;160,8;115,4;148,6;136,4
"YOGI Racing Ostrava 2";;;26;78,6;44,4;26;0
"SK MAXBIKE";;;0;0;0;76;85
