"HEINRICH";"Lukáš";"Bike Style";0;0;"DNF"
"Hejneš";"Leopold";"M3B racing team";39;0;0
"HELONA";"Radek";"CREDITAS Olomouc";0;0;"DNF"
"Hlawiczka";"Martin";"skvelakola.cz";0;37;23
"Holona";"Martin";"HPEL TEAM";0;33;0
"Hulboj";"René";"TJ TŽ Tøinec";0;39;0
"Chamrád";"Jiøí";"CK Continental Frenštát p. R. ""A""";0;0;46
"Javorek";"Petr";"CK Feso Petøvald";55;43;60
"Jureèka";"Roman";"CK Continental Frenštát p. R. ""B""";37;52;28
"Kajnar ";"Tomáš";"NUTREND SPECIALIZED Cycling team";60;0;42
"Klášterka";"Tomáš";"CK Continental Frenštát p. R. ""A""";0;65;44
"KOCOUREK";"František";"SK SKIVELO nesl. OLOMOUC";0;0;"DNF"
"Kocurek ";"Jaroslav";"Klub VRV Vsetín";0;60;29
"Koláèek";"Petr";"CK Feso Petøvald";0;48;36
"Kolesár";"Radek";"Kolík& Hobby ""B""";0;0;0
"Kotas";"Wieslaw";"TJ TŽ Tøinec";0;0;35
"KOUØIL";"Martin";"Kolokrám";0;0;55
"Kovaøík ";"Roman  ";"Kolík& Hobby ""C""";0;0;0
"Král";"Martin";"YOGI Racing Ostrava 2";0;0;0
"Krhut";"Martin";"M3B racing team";0;0;0
"Kroll";"Andrzej";"skvelakola.cz";0;32;0
"Krùpa";"Zdenìk";"CK Continental Frenštát p. R. ""B""";0;0;0
"Kubánek";"Martin";"Lowell Pro Šafrata Team Bohumín";0;0;0
"Kuèera ";"Marek";"M3B racing team";0;0;0
"KULA";"Tomáš";"KULOK";0;0;"DNF"
"Macháè";"Miroslav";"ACS DRAK VRBNO";34;0;16
"Maranèák";"Jaroslav";"Vsetín";0;47;0
"Martinák";"Tomáš";"SK Valašského království";0;0;0
"MIKA";"Rafajel";"Mikesz team";0;0;27
"Mitrenga";"Petr";"skvelakola.cz";0;45;25
"Mlynáø";"Vlastík";"ACS DRAK VRBNO";0;0;21
"Naiser";"Tomáš";"BikeOne";"DNF";0;0
"PECHÁÈEK";"Adam";"Mikebike cykling team";0;0;38
"PETRØÍK";"Zdenìk";"Krnov";0;0;37
"Pietrzyk";"Vratislav";"Yogi Racing";0;56;50
"Podhorný";"Jarmil";"YOGI Racing Ostrava 2";0;0;0
"Povala";"Roman";"CK Continental Frenštát p. R. ""A""";35;46;24
"Pøichystal";"Lukáš";"All Training.cz";44;0;0
"Pytel";"Jaromír";"M3B racing team";0;0;0
"Schnerch";"Martin";"skvelakola.cz";38;44;22
"Sikora";"Tomáš";"ACK Stará Ves nad Ondøejnicí";0;0;0
"SMRKTA";"Ladislav";"Silný team Unièov";0;0;39
"Stanèík";"Martin";"CK Continental Frenštát p. R. ""B""";0;0;0
"Stanìk";"Pavel";"Cyklosport Pøikryl Stará Ves n. Ondøejnicí";"DNF";42;32
"SURMA";"Piotr";"Mikesz team";0;0;30
"Šenkeøík";"Jan";"FORCE KCK CYKLOTEAM ZLÍN";0;0;48
"Šopík";"Vítìzslav";"Duko Rýmaøov";33;0;0
"Štec";"Josef";"Cyklokramo Suchdol nad Odrou ""B""";0;0;0
"Teslík";"Petr";"Yogi Racing Team Ostrava";0;40;0
"Toman";"Petr";"Team Forman Cinelli";0;0;0
"Uvíra";"Václav";"CK Orlík Orlová";0;58;0
"VRABEL";"David";"SK  MAXBIKE";0;0;20
;;;;;
"Kategorie C";14;;;;
"pøíjmení";"jméno";"klub";"Trispol";"èas. AM";"Krnov"
"Adámek";"František";"Zhor Team";37;0;0
"Bartek";"Dušan";"Racing Olesná";0;35;0
"Beneš";"Petr";"YOGI Racing Ostrava 1";0;0;40
"Blachowski";"Ryszard";"CK Orlík Orlová";0;38;0
"BLAHUT";"Radek";"Cykloblahut";0;0;48
"Boszczyk";"Norbert";"skvelakola.cz";0;0;38
"Buchal";"Ivo";"Racing Olešná ""A""";0;42;19
"Dohnal";"Blahoslav";"Cyklistika pro všechny Krnov";0;41;20
"DULAVA";"Lukáš";"Novatop Lapierre";0;0;23
"Fajkus";"Petr";"FORCE KCK CYKLOTEAM ZLÍN";55;56;55
"Fierla";"Jan";"CK Feso Petøvald";39;44;33
"Franta";"Roman";"Racing Olešná ""A""";0;43;29
"Galuška";"Tomáš";"Lowell Pro Šafrata Team Bohumín";50;70;44
"Giraczka";"Martin";"Lowell Pro Šafrata Team Bohumín";0;0;0
"Grussmann";"Václav";"CK Continental Frenštát p. R. ""A""";44;52;46
"Havlíèek";"Robert";"YOGI Racing Ostrava 2";0;0;0
"Helcel";"Martin";"mh bike";0;49;26
"Chaloupka ";"Petr";"Cyklo Racing Olomouc";48;0;50
"Chruòák";"Martin";"YOGI Racing Ostrava 1";0;0;35
"Chudìj";"Marek";"Cyklo Racing Olomouc";42;0;42
"Chudý";"Radek";"Cyklokramo Suchdol nad Odrou ""A""";0;48;34
"Chýlek ";"Patrik";"CK Continental Frenštát p. R. ""B""";0;0;0
"JAHN";"Ludìk";"Mark Bílovec";0;0;18
"Jaroš";"Martin";"Racing Olešná ""B""";0;46;0
"JUØÍK";"Kamil";"Cyklo Jeseník";0;0;28
"Kaiser";"Zdenìk";"A Bike Club Ostrava";0;0;27
"Kmenta";"Dalibor";"FORCE KCK CYKLOTEAM ZLÍN";0;0;0
"Kokeš";"Pavel";"SK Valašského království";0;0;0
"Kopecký";"Tomáš";"Bike club Svitavy";0;36;0
"Kraèmar";"Petr";"Kolík& Hobby ""B""";0;0;0
"Kubala";"Janusz";"M3B racing team";46;54;36
"Lach";"Alan";"Racing Olešná ""A""";0;50;32
"LOVEÈEK";"Martin";"Chirex cycling team";0;0;31
"Lysek";"Vladimír";"CK Continental Frenštát p. R. ""A""";0;65;39
"Machotka";"Karel";"YOGI Racing Ostrava 1";"DNF";60;37
"Odvárka";"Ivo";"FORCE KCK CYKLOTEAM ZLÍN";60;0;60
"Rylich";"Václav";"CK Orlík Orlová";0;0;0
"Sokol";"Pavel";"Cyklokramo Suchdol nad Odrou ""A""";0;45;25
"Šimeèek";"Radim";"Midar Pøíbor";0;39;21
"Škarka";"Jiøí";"Kolík& Hobby ""A""";38;40;24
"Šnajder ";"Roman";"Racing Olesná";0;47;0
"Tihlaøík";"Stanislav";"Cyklistika pro všechny Krnov";0;0;0
"Vymazal";"Igor";;0;0;0
"Wala";"Petr";"CK Feso Petøvald";0;0;0
"Wenzel";"Roman";"MaxCursor";0;0;30
"Wilhelm";"Jaroslav";"Kolík& Hobby ""B""";40;37;22
;;;;;
"Kategorie D";14;;;;
"pøíjmení";"jméno";"klub";"Trispol";"èas. AM";"Krnov"
"Adamèík";"Miroslav";"Cyklokramo Suchdol nad Odrou ""A""";44;65;44
"Baier";"Jan";"Kolík& Hobby ""B""";0;0;31
"Baran";"Petr";"M3B racing team";42;60;40
"Hinner";"Jiøí";"ACK Stará Ves nad Ondøejnicí";0;0;0
"Hlavatík";"Ladislav";"Racing Olešná ""A""";35;49;32
"Holeš";"Jiøí";"Kolík& Hobby ""B""";30;39;26
"Chmura";"Petr";"Team Forman Cinelli";0;42;25
"Jakl";"Jiøí";"Triatlon klub Ostrava";0;37;20
"Kaszuba";"Miros³aw";"Kolík& Hobby ""C""";0;52;36
"Knytl";"Vojtìch";"Cyklokramo Suchdol nad Odrou ""A""";0;36;33
"Koneèný ";"Pavel";"Kolík& Hobby ""A""";0;44;34
"Kontúr";"Milan";"SK Valašského království";27;43;21
"Kopøiva";"Miroslav";"CK Continental Frenštát p. R. ""B""";29;47;24
"Krawczyk";"Andrzej";;32;0;30
"Krchòák";"Pavel";"ACK Stará Ves nad Ondøejnicí";33;46;0
"Lawicki";"Dariusz";"CZERNICA MASTERS";36;48;35
"Legerský";"Jiøí";"TJ TŽ Tøinec";0;35;0
"Lepka";"Václav";"YOGI Racing Ostrava 2";26;41;18
"Lukeš";"Stanislav";"Cyklo Racing Olomouc";37;0;0
"Motyka";"Tomáš";"A Bike Club Ostrava";0;0;22
"Novák";"Milan";"BICYKLY CZ";40;45;42
"NOVOTNÝ";"Pavel";"Force KCK Zlín";0;0;50
"Pavlík";"Petr";"Racing Olešná ""A""";0;38;19
"Pìgøimek";"Milan";"CK Orlík Orlová";0;0;0
"Pelc";"Ladislav";"CK Continental Frenštát p. R. ""A""";60;70;"DNF"
"Petruš";"Lubomír";"ACS DRAK VRBNO";0;0;39
"Praski";"Henryk";"Kolík& Hobby ""B""";0;54;0
"Raus";"Pavel";"Novatop Lapierre";38;0;0
"Rumiñski";"Stanislaw";;34;0;28
"Rupa";"Miroslav";"YOGI Racing Ostrava 1";0;0;"DNF"
"Rybicki";"Ludwik";;"DNF";0;0
"Satinský";"Alexandr";"YOGI Racing Ostrava 1";46;56;37
"Savka";"Miroslav";"CK Orlík Orlová";0;0;17
"Schneider";"Rudolf";"CK Continental Frenštát p. R. ""B""";0;0;0
"SEDLÁÈEK";"Jiøí";"SK Jiøí team";0;0;29
"Sikora";"Miroslav";"TJ TŽ Tøinec";0;50;38
"Sikora";"Petr";"Lowell Pro Šafrata Team Bohumín";0;0;0
"Skøeèek";"Robert";"KC Brno";50;0;60
"Slezák";"Josef";"FORCE KCK CYKLOTEAM ZLÍN";55;58;46
"Škráèek";"Karel";"Vysot Sport Kunín";31;0;0
"ŠVEHA";"Miroslav";"Bike sport";0;0;48
"URBÁŠEK";"Jiøí";"Goffy team";0;0;27
"Vyoral";"Lubomír";"Kolík& Hobby ""A""";28;40;23
"Widenka";"Aleš";"Kolík& Hobby ""B""";0;0;0
"Wiœniewski";"Jerzy";;"DNF";0;0
"Zemánek";"Lubomír";"Cyklokramo Suchdol nad Odrou ""A""";39;0;0
"Zvoníèek";"Radomír";"FORCE KCK CYKLOTEAM ZLÍN";48;0;55
;;;;;
"Kategorie E";14;;;;
"pøíjmení";"jméno";"klub";"Trispol";"èas. AM";"Krnov"
"Bluszcz";"Stefan";"Lowell Pro Šafrata Team Bohumín";42;58;0
"Burian";"Vlastimil";"Cyklokramo Suchdol nad Odrou ""B""";0;48;0
"Danìèek";"Pavel";"Loko Krnov";60;70;44
"Dubný";"Pavel";"Cyklokramo Suchdol nad Odrou ""B""";37;47;37
"Glogar ";"Jan";"YOGI Racing Ostrava 2";0;0;33
"Homola ";"Petr";"YOGI Racing Ostrava 1";40;50;38
"Kramoliš";"Radomír";"Cyklokramo Suchdol nad Odrou ""B""";0;0;0
"Kubík";"Josef";"Kolík& Hobby ""A""";39;49;39
"Leszczynski ";"Ksawery ";"Kolík& Hobby ""C""";0;0;0
"Masný ";"Milan";"Racing Olešná ""A""";0;0;55
"Misina";"Andrzej ";"ACK Stará Ves nad Ondøejnicí";44;0;42
"Mlynáø";"Miloslav";"ACS DRAK VRBNO";0;0;34
"Mottl";"Bohumír";"Kolík& Hobby ""A""";46;65;50
"Mrakvia";"Zdenìk";"skvelakola.cz";36;44;32
"Mrnùštík";"Josef";"Cyklotech-Pro a Mrnùštík";0;45;0
"Muška";"Josef";"CK Feso Petøvald";0;0;35
"Oslzla";"Stanislav";"Brušperk";0;0;36
"Pavelek";"František";"CK Continental Frenštát p. R. ""B""";0;0;0
"Pavlík";"Jiøí";"skvelakola.cz";48;60;46
"Pekarèík";"Jiøí";"Cyklokramo Suchdol nad Odrou ""B""";0;0;31
"Rychta";"Otmar";"Cyklistika pro všechny Krnov";0;0;0
"Skotnica";"Josef";"SKP Opava";35;46;30
"Šlonc";"Vlastimil";"TŽ Tøinec";55;0;0
"Tešnar";"Tomáš";"YOGI Racing Ostrava 1";50;56;48
"Toman";"Vladislav";"Cyklokramo Suchdol nad Odrou ""A""";0;52;60
"Veselý";"Petr";"TJ TŽ Tøinec";38;54;40
;;;;;
"Kategorie ŽA";14;;;;
"pøíjmení";"jméno";"klub";"Trispol";"èas. AM";"Krnov"
"Bajgerová ";"Nikola";"ACK Stará Ves";0;0;48
"BARTOŠOVÁ";"Denisa";"FESO Petøvald";0;0;55
"Frantová";"Kateøina";"Racing Olešná ""B""";0;0;0
"Gruchalová";"Lucie";"Lowell Pro Šafrata Team Bohumín";60;70;60
"Holáòová";"Tereza";"Kolík& Hobby ""B""";0;0;0
"Chmurová";"Jana";"Team Forman Cinelli";55;52;37
"Kotalová";"Veronika";"CK Feso Petøvald";0;0;44
"Krzyžanková";"Lenka";"KC Kooperativa SG Jablonec nad Nisou";0;56;0
"Kratochvílová";"Eva";"A Bike Club Ostrava";0;0;0
"Kusidlo";"Katarzyna";"Kolík& Hobby ""A""";0;0;0
"Lantová ";"Romana";"Cyklistika pro všechny Krnov";0;54;38
"Mudøíková";"KATEØINA";"TJ Kolík Bohumín";0;65;39
"NAVRÁTILOVÁ";"Kateøina";"Sigma Hranice";0;0;40
"Sikorová";"Michaela";"TJ TŽ Tøinec";0;58;46
"Sladkovská";"Petra";"CK Continental Frenštát p. R. ""B""";0;0;0
"STONOVA";"Tamara";"Forman Cinelli";0;0;50
"Sýkorová";"Eliška";"ACS Drak Vrbno";48;0;33
"Šimková";"Barbora";"ACK Stará Ves nad Ondøejnicí";0;60;42
"Škopcová";"Klára";"ACS DRAK VRBNO";50;0;35
"Tomanová";"Lucie";"Cyklokramo Suchdol nad Odrou ""A""";0;0;34
"Ublanská ";"Kamila";"CK Orlík Orlová";0;50;36
;;;;;
"Kategorie ŽB";14;;;;
"pøíjmení";"jméno";"klub";"Trispol";"èas. AM";"Krnov"
"Báèová";"Pavla";"SCS Mirva Svitavy";0;58;0
"Bilková";"Jarmila";"TŽ Tøinec";44;0;0
"Danìèková";"Romana";"MAPEI Cyclo Kaòkovský";55;60;60
"Dohnalová";"Jaroslava";"Cyklistika pro všechny Krnov";50;65;50
"Halmová ";"Eva";"CK Orlík Orlová";0;52;0
