Kategorie A;12;;;;;;
pøíjmení;jméno;klub;Karlov;MJF;Bílovec;KrnKrit;BohÈas
Pietrzyk;Vratislav;Skvìlá kola ;0;46;0;0;50
Podlesnı ;Petr;CK Orlík Orlová;0;0;0;0;25
Pytel;Jaromír;SK Bagbike ;0;48;0;0;0
Sedláèek;Dan;IN-LIFE Cycling Team/Puskinak.cz;48;0;0;0;0
Sedláø;Milan;FORCE KCK ZLÍN;42;0;0;0;0
Schnerch;Martin;Skvìlá kola;0;0;0;0;0
Sieja;Jiøí;YOGI Racing Ostrava 2;0;0;0;0;0
Stanìk;Pavel;Cyklosport Pøikryl Stará Ves n. Ondøejnicí;39;22;31;0;0
Swaczyna;Patrik;CK Feso Petøvald;0;36;40;40;0
Zámeèník;Ivo;CC La´DRACO;0;29;39;0;0
;;;;;;;
Kategorie D;12;;;;;;
pøíjmení;jméno;klub;Karlov;MJF;Bílovec;KrnKrit;BohÈas
Baran;Petr;SK Bagbike ;48;0;50;0;48
Beneš;Petr;YOGI Racing Ostrava 1;0;0;0;0;0
Boszczyk;Norbert;Skvìlá kola;0;0;0;0;0
Daòhel;Mojmír;Cyklosport HF Opava-Bikestyle.cz;60;50;42;60;46
Holeš;Jiøí;CK Kolík Hobby Bohumín A;0;0;0;0;0
Hrazdílek;Alois;CK Kolík Hobby Bohumín B;0;0;0;0;0
Chmura;Petr;Team Forman Cinelli;46;0;36;0;0
Jakl;Jiøí;Triatlon klub Ostrava;42;38;30;0;33
Kaszuba;Miroslav;CZERNICA MASTERS;0;0;0;0;50
Koneènı ;Pavel;CK Kolík Hobby Bohumín A;0;46;46;0;0
Kontúr;Milan;MIKONT Frenštát;0;0;0;35;34
Kopøiva;Miroslav;CK Continental Frenštát p. R.  2;0;0;0;0;37
Krawczyk;Andrzej;CZERNICA MASTERS;0;36;0;40;0
Krchòák;Pavel;ACK Stará Ves nad Ondøejnicí;0;0;0;0;31
Lawicki;Dariusz;CZERNICA MASTERS;0;0;0;0;0
Lysek;Vladimír;CC La´DRACO;0;0;60;0;55
Majtner;Petr;Cykloservis MB;0;31;37;0;42
Míèek;Oldøich;2K-BIKE CLUB Odry;50;39;48;0;0
Motyka;Tomáš;KILPI RACING TEAM OSTRAVA ;44;42;31;38;0
Niemczyk;Jan;TJ T Tøinec;0;44;33;0;38
Nováèek;Pavel;Racing Olešná;0;0;32;0;0
Pelc;Ladislav;FORCE KCK ZLÍN;55;60;55;55;0
Praski;Henryk;CK Kolík Hobby Bohumín B;0;0;0;0;35
Rumiñski;Stanislaw;CZERNICA MASTERS;0;40;28;36;0
Rupa;Miroslav;SK Jiøí team Ostrava;0;34;29;48;36
Satinskı;Alexandr;YOGI Racing Ostrava 1;0;0;39;44;39
Schichel;Tomáš;YOGI Racing Ostrava 2;0;0;0;0;0
Šimoòák;Marek;ACK Stará Ves nad Ondøejnicí;0;0;0;0;0
Škarka;Jiøí;CK Kolík Hobby Bohumín B;0;0;0;0;0
Švan;Miroslav;ACS DRAK VRBNO;0;32;25;0;30
Vyoral;Lubomír;CK Kolík Hobby Bohumín A;0;0;0;0;0
Wawrzynkiewicz;Edward;CZERNICA MASTERS;0;48;44;37;0
Wilhelm;Jaroslav;CK Kolík Hobby Bohumín A;0;33;38;0;40
Zvoníèek;Radomír;FORCE KCK ZLÍN;0;55;40;42;0
;;;;;;;
Kategorie E;12;;;;;;
pøíjmení;jméno;klub;Karlov;MJF;Bílovec;KrnKrit;BohÈas
Adamèík;Miroslav;Cyklokramo Suchdol nad Odrou ;0;50;60;55;60
Andrzejewski;Andrzej;CZERNICA MASTERS;55;0;0;0;36
Bárta;Miroslav;SK Bagbike ;0;33;50;0;48
Baa;Vladimír;Tufo team;0;38;48;0;0
Bluszcz;Stefan;Lowell Pro Šafrata Team Bohumín;0;0;0;0;33
Danìèek;Pavel;Cyklistika pro všechny Krnov;60;46;46;40;42
Dubnı;Pavel;Cyklokramo Suchdol nad Odrou;44;25;31;0;28
Ertel;Jiøí;YOGI Racing Ostrava 1;0;30;32;0;37
Glogar ;Jan;YOGI Racing Ostrava 2;0;0;0;0;26
Hlavatík;Ladislav;Racing Olešná ;0;26;35;0;46
Homola ;Petr;YOGI Racing Ostrava 1;0;0;0;0;0
Jankowski;Alexander;ACK Stará Ves nad Ondøejnicí;50;36;36;44;34
Kubík;Josef;CK Kolík Hobby Bohumín B;0;0;0;0;0
Leszczynski;Ksawery;CK Kolík Hobby Bohumín B;0;0;0;0;55
Masnı;Milan;Racing Olešná ;0;0;0;0;0
Misina;Andrzej;ACK Stará Ves nad Ondøejnicí;48;35;37;42;32
Mottl;Bohumír;CK Kolík Hobby Bohumín A;0;40;34;0;38
Mrakvia;Zdenìk;TJ T Tøinec ;0;21;33;0;27
Mrnùštík;Josef;Cyklotech-Pro a Mrnùštík;0;28;29;0;31
Mrozek;Jiøí;CK Kolík Hobby Bohumín B;0;39;38;0;35
Novák;Milan;YOGI Racing Ostrava 1;0;44;55;0;40
Pìgøimek;Milan;CK Orlík Orlová;0;0;0;0;0
