Kategorie A;13;;;;;;;;
pøíjmení;jméno;klub;Trispol;Olšovec;MJF;Anna;BohÈas;Krnov;VC FM
Škoda;Kristián;_CK Continental Frenštát p.R.  1;27;28;23;0;0;0;0
Vávra;Marek;_ACK Stará Ves nad Ondøejnicí;24;33;33;0;44;0;46
Veleckı;Tomáš;_YOGI Racing Ostrava 1;0;0;0;0;0;0;0
Záruba;Petr;_ACK Stará Ves nad Ondøejnicí;39;55;21;0;0;0;60
Záruba;Pavel;_ACK Stará Ves nad Ondøejnicí;17;21;24;0;0;0;0
;;;;;;;;;
Kategorie B;13;;;;;;;;
pøíjmení;jméno;klub;Trispol;Olšovec;MJF;Anna;BohÈas;Krnov;VC FM
Bollo;Roman;_YOGI Racing Ostrava 1;25;33;29;27;31;29;48
Èer;Tomáš;Bikestyle.cz;36;0;0;0;0;60;0
Dohnal;Tomáš;_Cyklokramo Suchdol nad Odrou;0;0;39;0;27;0;41
Ïurica;Jiøí;Team LightBIKE;0;0;0;0;20;0;39
Duík;Josef;_KILPI RACING TEAM OSTRAVA;48;60;55;40;50;46;70
Foltın;Jiøí;"_CK Kolík Hobby Bohumín ""B""";0;0;25;0;18;0;0
Grigorescu;Lubor;TJ Ronov p. Radhoštìm;32;0;0;0;23;0;0
Gruchala;Vojtìch;_Lowell Pro Šafrata Team Bohumín;0;0;27;0;21;0;43
Haltof;Aleš;;0;0;0;0;22;0;42
Heinrich;Lukáš;Bikestyle.cz;37;40;28;0;0;50;0
Hlavatík;Jan;_Racing Olešná;19;0;0;0;0;33;58
Hlawiczka;Martin;_Skvìlá kola;28;39;44;0;37;0;49
Holackı;Miroslav;_TJ T Tøinec;0;0;24;0;0;0;0
Holona;Martin;HPEL TEAM;27;36;35;0;46;0;50
Hradil;Jiøí;_FORCE KCK ZLÍN;0;55;60;0;0;0;56
Chamrád;Jiøí;;0;0;34;0;0;38;0
Chudı;Jan;_TJ T Tøinec;0;0;46;18;34;0;52
Javorek;Petr;_Skvìlá kola;0;0;26;0;0;0;0
Jureèka;Roman;_CK Continental Frenštát p.R.  1;0;0;33;0;39;0;47
Kokeš;Pavel;SK Valašského království;0;0;0;0;0;0;0
Kozák;Pavel;_Cyklokramo Suchdol nad Odrou;0;0;0;0;24;0;46
Krhut;Martin;_SK Bagbike Rubing;0;34;0;0;0;0;0
Kvapulinskı;Martin;Team LightBIKE;0;0;0;0;0;0;0
Mitrenga;Petr;_Skvìlá kola;38;0;42;39;42;40;54
Motyka;Patrik;_KILPI RACING TEAM OSTRAVA;55;44;31;38;48;0;60
Petøík;Zdenìk;_Cyklistika pro všechny Krnov;33;0;0;0;0;42;0
Slavík;Jiøí;_FORCE KCK ZLÍN;46;42;40;55;0;44;65
Stanìk;Pavel;Cyklosport Pøikryl Stará Ves n. Ondøejnicí;17;0;0;0;0;0;0
Šmíd;Robert;_CYCLING BRNO;0;0;0;0;0;0;0
