"Kategorie A";14;;;;;;;;;;;;;;;;;;
"p¯ÌjmenÌ";"jmÈno";"klub";"Trispol";"MJF";"KrnKrit";"Ston»D";"Krnov";"TdS";"ArcMit";"Bahenec";"C.C.";"TdJ";"MAD";"SPAC";"MRSAC";"MRSAC";"GPF";"Stonava";"ML60"
"KLUKOSZOWSKI ";"Piotr";"Grupa Kolarska Gliwice Bike";0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"KOCI¡N ";"Daniel";"HUP NA KOLO. CZ";0;0;0;0;13;17;0;0;0;0;0;0;0;0;0;0;0
"Koci·n";"Tom·ö";"Lhota u Opavy";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27
"KOKEä ";"Michael";"Ghost";0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0
"KORYCZAN";"Adam";"Author Pszczyna";39;32;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0
"KOéUäNÕK";"Adam";"Forman Cinneli";0;0;42;0;0;27;0;0;0;0;0;"DNF";0;0;58;0;0
"KraËalÌk";"Tom·ö";"tandem - nevidom˝";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0
"Kras";"Dariusz";"Dar-Bud";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29
"KRHUT";"Martin";"SK Bagbike";0;20;0;0;24;0;0;0;0;0;0;0;0;0;35;0;39
"KUBALA ";"Petr";"CK KolÌk HOBBY";0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;0;0
"Kubica ";"Jozef";"Polsko Markowice";0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Kubica ";"Roman";"SK Ji¯Ì Team Ostrava";0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0
"KUCEWICZ ";"Michal";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0
"KUCIEBA";"Karol";;"DNF";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Kusidlo";"Mariusz";"CK KolÌk Hobby BohumÌn ""A""";0;34;0;0;29;39;35;0;0;0;48;47;45;50;29;54;55
"LANT";"AntonÌn";"Forman Cinelli";0;60;"DNF";0;40;55;60;0;0;0;0;42;0;0;27;0;0
"LAS¡K ";"MatÏj";"MAX CURSOR OSTRAVA";0;0;60;0;0;60;0;0;0;0;0;0;0;0;0;0;0
"Luköa";"David";;0;0;0;0;0;0;0;0;0;0;29;0;0;0;12;0;0
"MAJ ";"Rafal";"Fiolka Trens";0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0
"Mal·tek";"VojtÏch";"CK Feso Pet¯vald";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
"MaloöÌk";"Jan";"CK OrlÌk Orlov·";0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MAREK";"Jaroslav";"Ck Continental Frenöt·t p. R.  1";0;0;"DNF";0;0;29;44;0;0;0;0;0;0;0;0;0;0
"MAREK";"Miroslav";"Forman Cinelli";0;21;30;0;0;24;34;0;0;0;42;41;0;0;0;0;37
"Matula";"Luk·ö";"FORCE KCK CYKLOTEAM ZLÕN";55;50;0;0;46;48;50;46;0;48;55;60;65;65;56;65;60
"MÕ»EK";"Ond¯ej";"Forman Cinelli";0;16;39;0;0;"DNF";0;0;0;0;0;0;0;0;0;0;0
"MiËinec";"Jan";"ACK Star· Ves nad Ond¯ejnicÌ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MLYN¡ÿ ";"zdenÏk";"Bohemia cycling tream";0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0
"Motyka";"Patrik";"A Bike Club Ostrava ""B""";0;9;27;0;6;16;29;31;29;32;"DNF";35;0;0;"DNF";44;33
"Motyka";"Adam";"A Bike Club Ostrava ""A""";27;35;33;0;18;21;37;37;31;36;31;37;0;0;0;0;31
"Musiol";"Jakub";"YOGI Racing Ostrava 2";0;0;28;0;0;0;0;0;0;33;0;34;0;0;13;0;0
"NASET";"Jan";"In Life Cycling Team";24;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0
"Nepraö";"Karel";"ACK Star· Ves nad Ond¯ejnicÌ";50;39;46;0;0;35;0;0;0;0;0;0;0;0;36;0;0
"NEVÕDAL";"Ond¯ej";"BohuÚovice";40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"OSTRYSZ ";"Szymon";"Fiolka Trens";0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0
"Pac";"Pawel";"Fiolka Trens";0;0;44;0;0;0;0;0;0;0;0;46;0;0;0;0;0
"PAPULA ";"Luk·ö";"TJ UniËov";0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0
"PARMA";"Krzysztof";"SANBank";0;17;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0
"PavlÌk";"Petr";"Racing Oleön· ""A""";0;0;0;0;0;0;32;0;0;0;0;0;0;0;14;50;36
"PavlÌk";"Jan";"Racing Oleön· ""A""";0;22;0;0;0;22;39;0;38;38;37;43;0;0;0;0;0
"PAWLAK";"Grzegorz";"Author Pszczyna";0;55;0;0;42;0;0;0;0;0;0;0;0;0;0;0;50
"Peöek ";"Radim";"A Bike Club Ostrava ""B""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"PL¡äEK ";"Tom·ö";"All Training";0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0
"PLUNDR¡K";"David";"Cyklo TJ PÌseËn·";33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Pol·Ëek";"Michal";"A Bike Club Ostrava ""B""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0
"Pol·öek";"Adam";"A Bike Club Ostrava ""B""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"PREJDA ";"V·clav";"SK Ji¯Ì Team Ostrava";0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0
"PRUCIAK";"Rafal";;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"PYTEL ";"jaromÌr";"SK Bagbike";0;0;0;0;27;34;0;0;0;0;0;0;0;0;37;0;44
"Reichel";"Sebastian";"Cyklistika pro vöechny Krnov";0;0;0;0;0;0;0;33;30;0;"DNF";0;0;0;24;52;35
"ROHEL";"B¯etislav_ml";"Bikestyle.cz";0;42;0;0;0;0;0;0;0;0;"DNF";0;0;0;0;0;0
"SALAMON";"Marek";"CK Feso Pet¯vald";0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"SAS ";"Kryötof";"Mountaintime.cz";0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0
"SATKE ";"Tom·ö";"bikecentrum olomouc";0;0;0;0;36;0;0;0;0;0;0;0;0;0;39;0;0
"SEDL¡»EK";"Marek";"SK Ji¯Ì team Ostrava";0;38;29;0;0;15;0;0;0;0;0;0;0;0;0;0;0
"Stola¯Ìk";"Tom·ö";"SK Ji¯Ì Team Ostrava";0;0;0;0;0;0;0;0;33;0;33;"DNF";0;0;32;0;0
"SVÃNT› ";"Radek";"Bikomatic";0;0;0;0;35;33;0;0;0;0;0;0;0;0;0;0;0
"SvrËina";"Karel";"KC Hlinsko";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42
"SZCZEPANOWSKI";"Bartosz";"Experiment 23";0;0;55;0;44;0;0;0;0;0;0;0;0;0;0;0;0
"SWACZYNA";"Petr";"CK Feso Pet¯vald";35;12;0;0;23;42;0;0;0;0;0;54;0;0;48;0;0
"Szlauer";"David";"SkvÏl· kola-TJ Té T¯inec  ""B""";21;8;0;0;3;0;0;0;0;0;0;31;0;0;0;0;0
"Szymanski";"Patrik";"Grupa Kolarska Gliwice Bike";0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"äkoda";"Kristi·n";"CK Continental Frenöt·t p.R.  1";28;37;0;0;0;0;0;35;32;40;34;0;0;0;17;45;0
"äkuta ";"Vlastimil";"CK KolÌk Hobby BohumÌn""B""";0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;28
"ämedek";"Josef";"SILVINI CYCLING TEAM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0
"äR¡MEK";"VÌt";"Majnl dance hall";0;0;"DNF";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Toman";"Ji¯Ì";"Forman Cinelli";0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Tomek";"Josef";"Experiment 23";0;0;"DNF";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"URB¡äEK ";"Jan";"Experiment 23";0;0;0;0;26;0;0;0;0;0;0;0;0;0;52;0;0
"VAäç¡K";"VÌt";"SK Ji¯Ì Team Ostrava";19;0;25;0;4;0;0;30;0;0;0;0;0;0;0;0;0
"VAVRE»KA ";"Ji¯Ì";"Quint bike";0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0
"Veleck˝";"Tom·ö";"YOGI Racing Ostrava 1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"VL»EK ";"Pavel";"IN-LIFE Cycling team";0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0
"VYBÕRAL ";"Luk·ö";"Siln˝ Team UniËov";0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0
"WALA";"Jan";"LMGKK Zemia Brzeska";48;0;34;0;33;0;0;0;0;0;0;44;0;0;22;0;0
"WIDAWSKI";"Pawel";;29;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0
"Willmann";"Filip";"A Bike Club Ostrava ""A""";26;10;0;0;0;18;30;39;37;34;32;36;0;0;15;47;34
"WOLDZINSKI ";"Szymon";"UKS Sokol Kety";0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0
"Z·ruba";"Petr";"ACK Star· Ves nad Ond¯ejnicÌ";42;31;31;0;20;44;0;55;55;50;0;65;0;0;30;0;0
"Z·ruba";"Pavel";"ACK Star· Ves nad Ond¯ejnicÌ";38;26;36;0;38;0;0;0;35;0;36;39;0;0;20;0;0
"ZUBAR ";"Maksym";"Weltour Bedzin";0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0
"éeravÌk";"VojtÏch";;0;0;0;0;0;0;0;0;0;0;40;0;0;0;28;0;0
;;;;;;;;;;;;;;;;;;;
"Kategorie B";14;;;;;;;;;;;;;;;;;;
"p¯ÌjmenÌ";"jmÈno";"klub";"Trispol";"MJF";"KrnKrit";"Ston»D";"Krnov";"TdS";"ArcMit";"Bahenec";"C.C.";"TdJ";"MAD";"SPAC";"MRSAC";"MRSAC";"GPF";"Stonava";"ML60"
"Ad·mek";"Luk·ö";"CK Feso Pet¯vald";39;38;0;0;39;38;0;46;46;48;44;58;0;0;52;0;40
"AD¡MEK";"Jan ";"Olomouc";37;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0
"Androsz";"Michal";"CK KolÌk Hobby BohumÌn""B""";"DNF";36;37;0;0;21;0;0;0;0;29;43;0;0;0;43;0
"Bab·n";"Marcel";"Cykloservis MB";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Balica ";"Luk·ö";;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0
"BenÌËek";"Tom·ö";"CK Continental Frenöt·t p. R.  2";0;0;0;0;0;0;29;28;29;24;0;0;0;0;39;35;0
"BODY";"Marcel";"Novatop Lapierre";0;17;0;0;0;0;0;0;0;26;17;0;0;0;0;0;0
"Bollo";"Roman";"YOGI Racing Ostrava 1";27;0;0;0;0;24;34;39;42;35;0;54;0;0;46;0;29
"CIELUCH";"Marcin";"SKY";60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"»adil";"Pavel";"Bicomatic Ostrava";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
"»erven˝";"Luk·ö";"Cykloservis MB";0;25;0;0;0;20;0;0;0;30;22;40;0;0;43;47;34
"Dohnal";"Tom·ö";"Cyklokramo Suchdol nad Odrou ""B""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DOMANSKI";"Libor";"B¯eûany";35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DuûÌk";"Artur";"Cykloservis MB";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Folt˝n";"Ji¯Ì";"CK KolÌk Hobby BohumÌn ""A""";29;33;29;0;28;0;42;34;34;34;31;0;0;0;40;56;39
"Fryc";"Bohdan";"A Bike Club Ostrava ""A""";0;16;30;0;23;23;33;35;0;32;0;36;0;0;45;41;0
"Gierc";"David";;0;22;0;0;0;0;0;30;30;27;0;35;0;0;0;0;0
"GORAUS";"Tomasz";"Krupinski Suszec PRO-KAM";0;35;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0
"Gruchala";"VojtÏch";"Triatlon klub Ostrava";0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;44;0
"Grygiel";"Pavel";"Cykloservis MB";0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0
"Hajewski";"Tomasz";"Triathlon Dabrowa Gornicza";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0
"Harabiö";"Radim";"SK ValaöskÈho kr·lovstvÌ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"HEINRICH";"Luk·ö";"BikeStyle.cz";36;60;0;0;55;50;0;0;0;0;0;0;0;0;0;0;0
"HEJNEä ";"Leopold";"SK Bagbike";0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0
"Hlawiczka";"Martin";"SkvÏl· kola-TJ Té T¯inec""A""";38;34;38;0;33;33;38;37;35;36;25;49;39;37;47;49;30
"HOLIä ";"Martin";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;0;0
"Holona";"Martin";"HPEL TEAM";26;0;0;0;21;0;35;31;0;29;0;41;0;0;0;42;0
"HUDE»EK";"Petr";"Forman Cinelli";0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Chamr·d";"Ji¯Ì";;48;40;0;0;48;44;0;60;60;60;60;70;50;60;60;58;0
"CHOCHOL¡»";"Ji¯Ì";"Rafani Valmez";"DNF";29;0;0;60;0;0;0;50;0;"DNF";0;0;0;58;0;50
"JANOUäEK";"Ji¯Ì";"CK Brno";31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Javorek";"Petr";"CK Feso Pet¯vald";0;46;55;0;0;55;0;0;36;31;38;50;0;0;70;0;55
"Jir·sek";"Josef";"SK MAXBIKE Ostrava";0;0;0;0;0;25;0;0;32;28;0;39;0;0;0;40;35
"JureËka";"Petr";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0
"JureËka";"Roman";"CK Continental Frenöt·t p.R.  1";30;30;34;0;27;0;48;32;33;0;23;0;0;0;0;50;0
"KAJNAR";"Tom·ö";"Nutrend Specialized";55;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;"DNF"
"KAPLON ";"Julian";"Gliwice";0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"KARMELITA ";"Tom·ö";"Lokomotiva Krnov";0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;38
"KAVAN ";"Ond¯ej";"Novatop Lapierre";0;0;0;0;30;30;0;0;0;0;0;0;0;0;0;0;0
"KECHRT ";"Tom·ö";"Pells Team";0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0
"Kl·öterka";"Tom·ö";"CK Continental Frenöt·t p.R.  1";50;50;60;0;50;0;60;50;55;55;50;65;0;0;65;65;60
"KNEBEL";"Radim";"ED6U";0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Kocurek";"Jaroslav";"Fredos";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Kol·Ëek";"Petr";"CK Feso Pet¯vald";0;0;0;0;0;28;0;36;0;39;0;47;0;0;"DNF";0;42
"KoÚa¯Ìk";"Milan";"2K-BIKE CLUB Odry";0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0
"KONE»N›";"Luk·ö";"CK Vlastibor KoneËn˝";0;42;48;0;35;37;0;33;44;46;48;60;0;0;0;52;0
"KOUÿIL";"Martin";"Kolokr·m Svijany";46;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0
"Kova¯Ìk";"Roman";"CK KolÌk Hobby BohumÌn ""C""";0;0;0;0;24;19;0;0;0;0;0;0;0;0;0;0;0
"Koz·k";"Pavel";"Cyklokramo Suchdol nad Odrou ""B""";0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0
"Kub·nek";"Martin";"Lowell Pro äafrata Team BohumÌn";0;15;0;0;0;"DNF";0;0;0;38;0;0;0;0;0;0;0
"MACURA";"Pavel";;0;18;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Mach·Ë";"Miroslav";"ACS DRAK VRBNO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MALACZYESKI";"Marek";"Glubczyce";25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Mal·tek";"Tom·ö";"NOVATOP LAPIERRE";0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0
"MalÌk ";"Roman";;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0
"MartiÚ·k";"Tom·ö";"SK ValaöskÈho kr·lovstvÌ";0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0
"MAZUREK";"Patrik";"SKY";28;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0
"Mitrenga";"Petr";"SkvÏl· kola-TJ Té T¯inec""A""";0;0;0;0;34;26;44;38;37;42;37;52;0;0;48;48;0
"Mlynarski";"Piotr";"Krakow";0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0
"Nowak";"Michal";"Krupinski Suszec PRO-KAM";0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0
"Novotn˝";"Ji¯Ì";"Team Forman Cinelli";0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ORZADALA";"Patrik";;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"PECH¡»EK";"Adam";"Eleven - Rubena Test Team";0;26;44;0;44;40;0;40;38;40;42;46;0;0;"DNF";45;0
"PELC ";"Norbert";"Rafani Valmez";0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0
"Pet¯Ìk";"ZdenÏk";"Cyklistika pro vöechny Krnov";34;0;0;0;0;0;0;55;0;0;46;0;0;0;0;0;48
"PIETRZAK";"Pawel";"Krupinski Suszec PRO-KAM";0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Pietrzyk";"Vratislav";"YOGI Racing Ostrava 1";42;39;46;0;0;0;55;48;48;50;55;0;56;47;54;70;0
"Povala";"Roman";"CK Continental Frenöt·t p. R.  2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Przieliorz";"Pawel";"CK KolÌk Hobby BohumÌn ""A""";32;37;31;0;0;31;0;0;0;0;34;0;0;0;"DNF";0;36
"PÿICHYSTAL";"Luk·ö";"PM Bike éidlochovice";40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"RABL ";"Martin";"SK Bagbike";0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0
"ROHEL";"B¯etislav";"Bikestyle.cz";0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"SEDL¡ÿ ";"Jakub";"Novatop Lapierre";0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0
"SEKTA";"Rafal";"Krupinski Suszec PRO-KAM";0;10;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0
"Schnerch";"Martin";"SkvÏl· kola-TJ Té T¯inec""A""";0;31;0;0;0;0;37;0;0;0;0;38;0;0;0;0;0
"SKIBA";"Krzysztof";"Krupinski Suszec PRO-KAM";0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"SlavÌk";"Ji¯Ì";"FORCE KCK CYKLOTEAM ZLÕN";0;0;0;0;42;0;0;0;0;0;0;0;45;41;44;0;0
"SlavÌk";"Duöan";"FORCE KCK CYKLOTEAM ZLÕN";0;0;0;0;36;48;0;0;40;44;40;0;0;0;0;0;0
"SLEZIAK";"Lukasz";;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"SMRKTA ";"Ladislav";"Siln˝ Team UniËov";0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0
"StanÏk";"Pavel";"Cyklosport P¯ikryl Star· Ves n. Ond¯ejnicÌ";0;21;32;0;20;0;0;0;0;0;21;42;0;0;0;0;28
"Steffek";"Leslaw";;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0
"Surma";"Piotr";"CK KolÌk Hobby BohumÌn ""A""";0;27;40;0;32;39;39;0;0;0;28;0;0;0;0;0;0
"äenke¯Ìk";"Jan";"FORCE KCK CYKLOTEAM ZLÕN";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"äÕBL";"LudÏk";"ACS DRAK VRBNO";24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"äIMON ";"VÌtÏzslav";"Lokomotiva Krnov";0;0;50;0;0;34;0;0;0;0;26;45;0;0;0;0;0
"äINDLER";"Robert";"CK Feso Pet¯vald";0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"äùastn˝";"Marek";;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0
